,mean_depth
HG00384,85.06
NA19448,74.82
HG01498,96.26
HG00705,99.01
HG00693,95.6
NA19676,46.9
HG00628,54.65
NA19782,84.2
NA12286,99.33
NA19314,60.76
HG00610,75.09
NA20787,54.68
HG00537,104.11
NA19130,179.88
NA19036,58.17
NA19430,63.67
HG02014,233.02
NA20771,52.78
HG00611,58.56
NA19471,160.69
HG01254,104.58
NA19399,85.99
HG01455,103.72
NA20535,98.22
NA20811,85.57
HG00102,82.33
NA06986,192.65
HG00365,83.75
NA19397,54.74
HG00566,50.71
HG00650,97.4
HG00311,62.0
NA18856,88.28
NA20796,92.73
HG01047,84.14
NA12275,178.81
HG00332,111.54
HG00589,78.77
NA19682,61.31
HG00595,70.55
HG00360,54.89
NA19685,51.4
HG01054,146.01
NA19900,111.18
HG01348,61.96
NA20828,121.74
NA20797,78.16
NA19472,83.57
NA20529,81.7
NA19038,65.94
HG00472,92.16
NA19308,93.35
HG00476,109.99
NA20804,85.53
NA19222,42.98
NA19446,67.89
HG00592,62.11
HG00362,66.8
HG00256,83.0
HG00171,108.31
NA20760,94.47
NA19321,92.18
NA19318,140.82
HG01377,109.4
HG01070,87.91
NA19795,63.69
HG00378,88.98
NA19660,48.56
HG00179,72.7
HG00364,68.02
HG00336,91.43
HG00271,103.39
HG01176,95.66
HG00270,54.82
NA20765,114.0
NA12282,126.35
HG00154,111.84
HG00266,43.42
NA19917,51.0
HG00443,73.7
HG01182,116.76
NA18870,147.4
NA19904,51.48
NA20346,93.96
HG00116,105.48
NA19713,50.08
HG00366,67.8
NA19404,58.46
HG01383,57.77
NA19346,154.56
NA19327,92.34
HG00701,91.09
NA10851,66.21
NA20299,84.12
HG01136,61.17
HG00608,94.02
NA20769,58.37
HG00318,90.68
NA20317,80.56
NA19428,57.3
NA20544,113.55
NA19431,56.86
HG00731,345.07
NA20313,456.34
HG01491,55.01
HG00689,86.52
NA11830,64.98
HG00114,95.48
NA20516,76.49
HG01149,64.26
NA19788,73.73
HG00551,129.83
NA19729,97.67
NA20502,159.48
HG00320,91.68
NA20758,104.4
NA19663,53.83
NA19474,163.06
HG00140,87.69
NA19102,150.19
NA19661,48.98
HG00349,62.83
NA11994,69.59
HG00684,104.83
HG01275,70.22
HG01756,267.53
HG00536,118.76
HG01111,169.8
HG00525,92.89
NA11919,58.5
NA20322,77.9
NA19664,48.22
HG01384,58.44
NA19819,59.34
NA19324,101.59
HG00325,88.11
HG00327,82.3
HG00277,96.12
NA19909,48.25
HG01437,56.51
HG00135,57.83
HG00261,83.48
HG00118,71.95
NA19720,54.0
NA12044,66.27
NA19031,52.09
HG00560,82.46
HG00380,56.85
HG01112,183.4
HG01133,63.29
HG00338,79.01
HG01108,116.31
HG01886,266.5
NA19210,107.17
NA19654,53.79
NA11881,78.6
NA19780,87.21
HG00181,102.04
NA20755,106.36
NA12004,41.66
NA20582,121.46
NA20296,85.9
NA20314,92.57
NA20785,50.78
HG00178,94.46
NA19731,93.49
NA19027,58.56
NA20585,125.51
NA19391,44.05
HG00104,71.49
NA20525,51.93
NA20538,93.81
NA19451,49.78
HG00590,92.13
NA20282,86.5
NA11930,55.81
NA19375,86.52
HG00249,113.41
NA19207,94.96
HG01073,65.71
NA20522,63.35
HG01198,113.33
NA19440,57.39
HG00690,90.78
HG00141,66.44
NA18912,199.95
HG01187,100.41
HG00626,72.55
NA20506,49.03
NA20515,64.39
HG01757,263.83
NA20357,56.64
NA11893,109.71
NA19703,50.8
NA19655,52.8
NA11840,95.86
NA20359,49.93
HG00662,91.32
HG00236,103.52
HG01197,120.77
HG00335,94.47
HG01359,46.49
HG00149,60.42
HG00158,81.51
NA06985,55.63
NA20530,48.32
HG00663,82.38
NA19116,136.37
NA19044,48.42
NA19719,49.42
NA20783,55.83
NA19371,66.58
HG00358,50.15
HG00151,58.3
NA20795,50.49
HG01241,92.81
NA19704,51.76
NA19723,52.54
HG00634,69.4
HG00379,54.7
NA19457,98.52
HG00133,93.66
NA20519,65.01
NA19316,92.61
NA07000,60.73
HG01366,85.61
NA19394,100.4
HG00187,99.68
HG00583,80.84
NA19452,52.24
NA12283,79.61
HG00237,86.98
NA12249,85.9
HG00403,75.21
NA18501,143.99
HG00619,104.78
HG01105,86.42
NA18508,101.7
NA19143,91.32
HG00531,124.87
HG00245,113.0
NA19443,82.93
HG00110,107.51
HG01174,85.87
HG00275,90.06
HG00446,88.59
NA19035,58.52
NA19131,95.24
HG00262,176.22
NA19435,71.21
NA20521,50.26
HG00132,64.6
HG00331,98.42
NA20786,51.09
NA11920,145.55
HG00382,85.55
NA19762,89.26
NA20540,86.37
NA19722,53.6
HG00143,75.71
HG00367,73.9
HG01551,103.74
NA20770,53.72
NA20356,88.41
HG01171,69.31
HG01107,114.69
NA07347,99.09
HG01242,97.16
NA19761,79.39
NA19332,114.17
NA20278,84.49
NA11892,95.98
NA19437,76.97
NA20510,84.98
NA19750,89.62
HG00704,105.82
HG01354,98.82
HG00157,93.67
HG00131,106.43
HG00355,52.33
HG00739,134.9
HG00542,103.59
NA19384,68.85
HG00280,105.27
NA20774,48.19
NA20757,109.52
HG01357,53.96
HG00533,88.14
NA19360,61.77
HG00121,88.9
HG00512,112.58
NA19785,95.17
HG01082,129.37
NA19159,87.78
HG01139,74.46
NA19439,83.27
HG00152,61.5
NA19473,71.68
HG00189,94.34
HG01953,223.98
NA11918,159.65
HG00342,85.48
HG01256,52.44
HG00183,106.0
NA20756,131.55
HG00242,110.85
NA18853,163.77
NA19334,168.44
HG00329,85.86
HG00428,87.08
NA19758,94.14
NA19675,48.23
NA19657,50.83
NA19707,52.82
NA07051,77.65
NA12046,47.76
NA18502,68.77
HG00593,68.77
HG01140,59.24
NA20340,105.64
HG00554,100.04
NA20527,83.65
HG01247,97.56
NA19347,158.62
NA19144,96.56
NA19398,48.7
HG01075,90.3
HG00326,101.85
NA18516,139.52
HG00244,110.2
NA07056,41.72
HG00315,105.0
NA19834,52.94
HG00099,79.76
HG00607,92.78
HG01390,85.13
HG00112,64.47
HG00247,47.9
HG01060,112.06
HG00272,53.97
HG00308,127.06
NA19172,174.04
NA20126,86.91
NA20281,82.95
HG00501,82.61
NA19328,93.84
HG01345,64.91
HG01465,50.86
HG00113,87.76
HG00559,84.0
NA19916,53.19
NA20518,64.88
HG00186,85.7
HG00105,59.84
HG00368,59.2
NA19137,75.48
NA18517,92.88
HG00344,84.93
HG00381,80.78
HG00346,96.75
HG00313,85.44
NA06994,90.51
HG00452,123.89
HG00740,76.4
HG00246,102.03
NA19204,91.82
HG01438,49.73
NA19679,54.75
HG01461,53.59
HG00109,110.25
HG01334,87.1
HG01095,85.27
HG01274,60.24
HG00310,119.29
HG01097,94.66
NA19438,51.42
HG00265,80.97
HG00445,84.61
HG00369,78.04
HG00359,56.08
NA19462,52.88
NA20520,77.19
NA20589,120.29
HG01873,305.59
HG00565,63.93
NA20754,106.3
NA18523,112.35
HG01190,90.36
NA12272,88.47
NA20341,106.29
NA11831,56.34
NA19152,97.11
HG00123,85.87
HG01204,128.33
NA19726,52.0
HG01137,61.24
HG00324,87.37
HG01375,95.56
HG00185,107.72
NA19028,53.35
NA11931,108.01
HG01440,46.69
HG00448,84.3
NA19372,73.42
NA19794,62.46
NA19099,91.96
NA19786,88.9
HG00267,77.34
NA19379,59.21
HG01061,86.34
HG01072,93.62
HG01098,92.33
NA19223,100.28
HG00458,95.5
HG00640,96.91
HG00479,103.67
NA12005,65.04
NA20528,79.94
NA18507,49.19
HG00451,85.52
NA20803,81.62
NA18858,116.44
NA19770,82.61
HG01069,110.76
NA19374,63.26
HG01104,108.94
NA19684,49.06
NA20294,84.84
HG00136,118.98
HG01101,129.72
NA19456,53.1
HG01167,130.55
HG01250,102.34
HG00557,94.31
HG01110,175.47
HG00173,67.96
NA20815,135.87
NA19307,78.32
NA19678,51.22
HG00581,93.1
HG00339,77.41
NA19648,233.93
NA19138,89.76
HG00371,75.53
HG01342,48.74
NA11829,63.51
HG00683,97.52
NA19835,56.4
NA19311,87.68
HG00263,94.06
NA20768,49.4
NA20508,72.35
HG01052,102.37
NA19701,55.56
HG01872,280.99
NA20542,88.23
NA20531,81.6
NA19455,94.31
HG00337,85.53
NA19776,78.66
NA20766,49.04
NA20127,81.36
NA19463,92.46
HG00422,83.19
HG00285,90.63
NA19171,108.67
HG01205,107.3
NA11843,51.86
NA19921,49.28
HG01113,95.55
HG00284,96.9
HG00254,101.43
HG01257,67.09
HG00306,52.0
HG00134,57.07
HG00625,57.51
HG00500,75.94
NA19783,85.53
HG00657,107.16
HG00253,82.39
HG01389,108.07
HG00128,90.65
HG00260,94.27
HG00238,104.57
HG00357,75.34
HG00436,141.52
HG01083,121.24
NA19041,74.98
HG00513,97.8
HG00473,110.76
HG00137,77.73
HG00421,80.09
NA19434,63.17
NA18871,76.38
HG01277,71.63
NA19380,86.29
HG00373,79.82
HG00148,69.4
NA19670,49.38
NA19238,164.74
HG00596,62.31
NA20336,107.42
HG01080,106.69
NA10847,96.09
NA19385,98.22
HG00160,79.86
NA19239,53.07
HG00671,73.19
HG00125,89.43
HG00457,98.63
NA19313,106.97
NA19982,52.19
NA19747,122.02
NA20524,45.19
NA19777,85.5
NA19773,80.6
NA19468,85.23
HG00361,118.11
NA20534,71.06
HG00115,65.12
HG01168,152.95
HG01271,69.96
HG00656,104.91
NA19681,51.57
HG01497,93.0
NA20807,81.33
NA19119,100.24
HG00188,107.91
NA19098,90.33
HG01351,92.04
NA19649,55.99
NA20517,71.11
HG01048,156.67
NA19315,92.76
HG00103,83.25
HG02057,262.76
HG00376,83.0
HG00252,139.94
NA20588,101.87
HG00119,72.9
HG01259,74.36
HG00404,105.61
HG01134,55.01
HG01173,93.87
HG00250,82.48
NA19651,62.09
HG01272,56.43
NA20348,87.72
HG00427,133.29
HG00732,298.06
NA20778,53.69
HG00353,92.35
NA19383,52.87
HG00449,124.7
HG00419,154.5
HG01374,74.73
HG00240,93.49
HG01170,103.09
NA20344,127.75
NA20818,129.4
HG01086,101.93
HG00478,100.32
NA19749,45.02
NA19466,60.37
HG00259,147.39
NA19129,106.27
HG00127,91.16
HG00180,56.33
NA19093,138.39
HG00276,113.77
HG01341,58.37
HG00319,91.16
HG00235,51.06
NA19092,121.68
HG01347,68.61
NA19449,101.59
HG00699,101.93
NA20800,80.28
NA11995,37.45
HG01124,64.07
NA19377,87.79
HG01550,98.43
NA20586,101.34
NA20287,93.03
HG00273,88.27
NA20772,55.87
HG00584,90.72
NA20809,81.41
NA20509,61.48
HG00530,85.29
NA20291,85.49
NA20752,124.0
NA20792,53.74
HG00383,82.75
NA07037,119.94
HG00524,121.12
NA19201,101.96
HG01191,129.29
HG00407,74.47
NA18522,191.06
HG00702,88.96
NA19669,45.69
NA20753,131.32
NA20332,92.74
HG01051,179.55
NA12155,71.66
NA19728,105.05
HG00321,93.63
HG00334,84.27
NA20810,81.67
HG01251,98.81
HG00534,102.27
HG00138,84.87
NA19625,166.72
NA20806,101.3
HG01278,72.61
NA12156,38.78
NA12043,91.35
HG01378,69.53
HG01344,71.26
HG01055,164.37
NA19818,54.4
HG00282,95.18
HG00323,88.92
NA19756,87.84
HG00159,72.41
HG00463,77.99
HG00312,109.2
HG01350,95.8
HG00330,95.36
NA19390,71.4
HG01495,97.29
NA11993,67.01
NA19350,102.1
NA19403,63.64
HG00418,100.14
NA19445,74.52
HG01148,60.38
HG01464,56.08
HG00239,91.87
NA12273,73.01
NA19359,68.31
HG00343,80.86
HG00097,57.83
NA20773,59.11
HG01049,171.95
NA12154,65.5
HG00234,59.69
NA20512,63.42
NA20543,130.22
HG00142,85.14
HG00120,78.65
HG00264,90.21
HG00653,100.75
NA19985,72.86
HG00464,76.91
NA19717,50.91
NA20761,81.5
NA20334,78.05
NA12045,83.09
HG00129,68.12
NA12234,66.41
HG00150,64.35
HG00734,197.65
NA19920,55.43
NA19759,114.04
HG01356,56.88
NA20342,99.55
HG01360,95.88
HG01492,60.61
NA19376,68.06
NA19317,92.93
HG00698,92.13
NA12006,63.98
NA20816,94.24
HG00111,94.47
NA19755,99.21
HG01177,78.92
HG00672,81.08
HG01067,117.23
HG01066,184.81
NA19309,49.84
HG01188,80.6
HG00654,105.84
HG00243,108.41
HG00356,51.27
NA20504,53.58
HG00258,84.58
NA20276,87.14
HG00372,73.02
HG00174,107.66
NA19436,39.77
NA19467,66.17
NA20813,91.55
HG00651,97.49
HG00309,79.24
NA20775,50.6
HG00145,109.73
HG00614,78.48
NA11832,65.45
HG01488,49.18
HG00255,79.05
HG00613,101.82
NA19658,47.1
NA19160,91.18
HG00107,85.86
HG01183,127.85
HG00274,119.54
HG01968,230.35
HG00736,107.19
NA20790,48.78
NA19652,52.78
HG00543,120.48
HG00101,112.47
HG00251,104.25
HG01462,53.22
HG00350,62.67
HG00126,68.29
NA19716,49.51
NA19725,49.17
HG00146,113.73
NA19141,83.49
NA12058,85.29
NA19240,115.18
HG00375,121.33
HG00641,174.99
HG00096,173.04
NA19209,112.71
HG00139,111.5
HG00278,100.6
NA20505,50.02
HG00553,102.42
NA20798,82.83
NA19319,90.95
HG00629,81.12
HG01489,50.96
HG00117,66.53
NA20801,92.08
NA19700,49.82
HG01085,122.58
NA19393,61.79
NA20581,108.19
NA19712,47.45
NA20802,111.79
NA18504,87.51
HG00442,95.4
HG01260,108.06
NA20289,81.12
