chrom	length	bases	mean	min	max
chr1	248956422	948101824	3.81	0	2169
chr1_region	4728181	476811026	100.84	0	2169
chr2	242193529	672701749	2.78	0	3128
chr2_region	3365782	352149780	104.63	0	1201
chr3	198295559	498159034	2.51	0	6464
chr3_region	2638027	254548368	96.49	0	6464
chr4	190214555	388472029	2.04	0	1891
chr4_region	1796579	190415475	105.99	0	1891
chr5	181538259	418398281	2.30	0	922
chr5_region	2085904	210901467	101.11	0	695
chr6	170805979	461582465	2.70	0	2276
chr6_region	2346319	244284989	104.11	0	2276
chr7	159345973	429278541	2.69	0	6173
chr7_region	2210246	212324573	96.06	0	5612
chr8	145138636	303076705	2.09	0	1385
chr8_region	1566502	142183782	90.77	0	1385
chr9	138394717	355328619	2.57	0	812
chr9_region	1873735	168675965	90.02	0	765
chr10	133797422	375332081	2.81	0	803
chr10_region	1828952	183472095	100.32	0	803
chr11	135086622	442181008	3.27	0	3440
chr11_region	2653682	243058727	91.59	0	3440
chr12	133275309	440579324	3.31	0	2090
chr12_region	2445531	236268619	96.61	0	792
chr13	114364328	180910554	1.58	0	643
chr13_region	828312	81340545	98.20	0	643
chr14	107043718	277761071	2.59	0	934
chr14_region	1508410	147564085	97.83	0	805
chr15	101991189	324221432	3.18	0	1592
chr15_region	1620590	159323758	98.31	0	1592
chr16	90338345	309554772	3.43	0	1169
chr16_region	1975485	160337144	81.16	0	1169
chr17	83257441	439393725	5.28	0	1510
chr17_region	2581394	227004803	87.94	0	1290
chr18	80373285	146841768	1.83	0	827
chr18_region	691497	68197388	98.62	0	827
chr19	58617616	374921859	6.40	0	1729
chr19_region	2891894	229422048	79.33	0	1729
chr20	64444167	180628878	2.80	0	751
chr20_region	1136294	89199851	78.50	0	749
chr21	46709983	95112261	2.04	0	959
chr21_region	462839	39864500	86.13	0	604
chr22	50818468	143393641	2.82	0	1060
chr22_region	989969	68982753	69.68	0	628
chrX	156040895	226477922	1.45	0	3009
chrX_region	0	0	0.00	0	0
chrY	57227415	35330315	0.62	0	782
chrY_region	0	0	0.00	0	0
chrM	16569	2915545	175.96	0	445
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	707277	4.04	0	516
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	16937	0.53	0	4
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	37980	0.30	0	14
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	321574	4.81	0	112
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	11044	0.27	0	3
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	7684241	182.05	0	3046
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	369838	2.10	0	385
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	302501	7.42	0	177
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	291344	6.98	0	214
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	32885	0.20	0	4
chr2_KI270715v1_random_region	0	0	0.00	0	0
